Name,Subject
M1,IT
M2,Maths
M3,Maths
M4,Maths
M5,Maths
M6,Maths
M7,Maths
M8,Maths
M8a,Maths
M9,Maths
M10,MFL
M11,MFL
Library,Library
M14,MFL
M15,IT
M16,IT
E1,Humanities
E2,Humanities
E3,Music
E4,Humanities
E5,Music
S1,Science
S2,Science
S3,Science
S4,Science
S5,Science
S6,Science
S7,Science
F1,Art
F2,Humanities
F3,Humanities
F4,Humanities
F5,Humanities
F6,Humanities
F7,Humanities
F8,Humanities
F9,Humanities
D1,DT ICT
D2,DT ICT
D3,Catering
D4,DT ICT
D5,Workshop
D6,Art
D7,Construction
D8,SEND
J1,English
J2,English
J3,English
J4,English
J5,English ICT
J6,English
J7,English
J8,English
J9,English
J10,English
Conference Room,Conference Room
